Symbol,1 Year Yield,EPS,P/E Ratio,Book Value,PBV,% Dividend,% Bonus,Right Share
PMLI,0.00%,"8.35
                                
                                    (FY:080-081, Q:3)",75.57,122.95,5.13,,,
PMLIP,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,275.40,,,
PPCL,31.25%,"-16.70
                                
                                    (FY:080-081, Q:3)",-19.64,98.13,3.34,,,
PPL,85.98%,"2.60
                                
                                    (FY:080-081, Q:3)",188.85,97.08,5.06,,,
PRIN,52.06%,"37.93
                                
                                    (FY:080-081, Q:3)",26.86,224.67,4.53,,,"1:0.46
                                
                                    (FY:074-075)"
PROFL,92.33%,"-4.49
                                
                                    (FY:080-081, Q:4)",-139.64,45.33,13.83,,,"1:2.81
                                
                                    (FY:074-075)"
PRSF,32.41%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,10.50,,,
PRVU,38.03%,"19.03
                                
                                    (FY:080-081, Q:4)",11.88,154.76,1.46,,,"10:4
                                
                                    (FY:072-073)"
PSF,21.57%,"0.00
                                
                                    (FY:079-080, Q:2)",0.00,0.00,0.00,"9.50
                                
                                    (FY:079-080)",,
RADHI,87.79%,"7.07
                                
                                    (FY:080-081, Q:3)",56.58,120.11,3.33,"0.25
                                
                                    (FY:079-080)","4.75
                                
                                    (FY:079-080)","1:1.4752
                                
                                    (FY:079-080)"
RAWA,85.91%,"1.03
                                
                                    (FY:080-081, Q:3)",645.63,79.90,8.32,,,
RBBD83,0.00%,"0.00
                                
                                    (FY:, Q:0)",0.00,0.00,996.00,,,
